team,decimal_odds,implied_prob_pct,source_note
Spain,6.0,17.7,Kalshi/market consensus ~12 Jun 2026
France,6.0,17.1,Kalshi/market consensus ~12 Jun 2026
England,8.5,11.0,bookmaker 17/2
Portugal,10.0,9.5,bookmaker 9/1
Brazil,11.0,9.0,bookmaker 10/1
Argentina,12.0,8.0,bookmaker 11/1
Germany,15.0,6.0,bookmaker approx
Netherlands,17.0,5.5,bookmaker approx
